Transaction_Amount,Transaction_Type,Account_Balance,Device_Type,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Transaction_Distance,Authentication_Method,Is_Weekend,Fraud_Label,Year,Month,Day,Hour,Minute,Second
341.48,0,70318.22,2,0,0,13,406.83,4,1,4382.35,0,0,1,2023,8,24,15,56,0
37.48,0,43323.58,0,0,0,1,332.44,3,2,407.31,1,1,0,2023,2,14,23,45,0
34.24,2,51038.92,1,1,0,13,149.91,1,3,3964.43,1,1,1,2023,12,31,1,37,0
114.62,1,69703.64,0,0,0,5,387.72,1,2,3452.59,3,0,0,2023,9,17,11,56,0
146.36,0,44910.06,1,0,0,11,380.0,1,2,4326.1,0,1,0,2023,4,25,5,32,0
87.42,3,5726.03,2,0,0,4,280.36,0,1,2978.63,3,0,1,2023,11,18,14,2,0
6.48,0,84441.35,1,0,0,14,492.88,3,0,3877.98,0,0,0,2023,6,19,16,21,0
67.22,2,4452.13,0,0,1,6,195.44,0,0,3252.87,3,0,0,2023,12,31,18,30,0
27.41,1,95653.04,0,0,0,9,407.3,3,3,486.96,2,0,0,2023,1,11,11,42,0
38.56,2,64701.66,0,0,0,9,455.74,1,0,4837.48,3,0,0,2023,6,30,17,2,0
38.94,3,60766.13,0,0,0,2,491.31,1,3,849.35,1,0,0,2023,6,10,16,58,0
81.15,1,89452.21,1,0,0,11,288.09,2,3,2385.54,1,1,1,2023,12,3,0,0,0
69.78,3,37588.18,0,0,0,9,364.5,3,0,54.94,2,0,1,2023,9,5,3,32,0
75.78,2,88519.11,0,0,0,8,314.78,4,3,3164.27,0,0,1,2023,1,2,6,52,0
116.06,3,32683.15,0,0,0,9,466.85,3,3,2971.22,1,1,0,2023,11,20,2,41,0
200.12,1,43514.52,1,0,0,6,382.32,1,2,3992.76,0,0,0,2023,5,28,15,27,0
4.35,0,11625.47,2,0,0,14,242.29,0,0,2948.04,3,1,0,2023,2,24,7,53,0
78.3,1,70824.08,0,0,0,9,147.76,1,0,260.21,3,1,0,2023,11,11,11,28,0
116.36,3,12538.54,1,0,1,2,124.4,4,0,596.43,2,0,1,2023,6,15,13,28,0
6.71,2,24531.42,0,0,1,2,18.65,2,3,1942.89,0,0,0,2023,5,31,20,59,0
201.5,3,98215.23,1,0,0,2,218.81,3,3,4783.65,1,0,1,2023,7,5,20,32,0
27.34,0,36640.67,0,0,0,7,472.66,1,2,2990.63,0,0,0,2023,9,2,11,37,0
30.6,2,35520.46,1,0,0,1,395.51,0,1,4639.01,1,0,1,2023,3,1,0,49,0
128.67,1,59764.05,1,0,0,11,59.02,1,1,2894.77,1,0,1,2023,2,20,15,6,0
151.03,3,9562.48,0,1,0,3,397.06,1,2,558.21,2,1,0,2023,7,18,15,10,0
30.75,3,37797.24,0,0,0,6,381.99,1,1,1318.25,1,0,1,2023,4,5,21,9,0
90.31,2,74657.49,2,0,0,13,58.8,0,0,1322.53,1,1,1,2023,11,10,15,30,0
134.6,2,73350.36,1,0,1,4,237.88,1,2,1060.0,3,0,0,2023,9,24,0,28,0
226.27,2,69408.63,0,0,0,3,194.31,4,0,1023.63,2,1,1,2023,3,15,19,53,0
173.61,1,89980.45,1,0,0,11,104.95,1,0,2850.82,2,1,0,2023,8,26,10,39,0
117.78,2,55531.66,0,1,0,2,413.31,1,3,4912.07,3,1,0,2023,9,7,16,13,0
8.93,0,24489.86,2,0,1,5,366.19,2,3,848.38,1,1,0,2023,11,20,2,52,0
58.3,3,49292.25,0,1,0,6,117.55,2,0,1874.73,1,0,0,2023,6,16,18,17,0
107.96,2,66570.47,2,0,0,10,213.84,1,1,3198.86,3,0,0,2023,5,24,1,27,0
400.49,0,56342.31,2,1,0,3,417.8,2,3,2857.95,1,1,0,2023,6,26,11,59,0
66.4,2,75869.61,2,0,0,7,427.37,3,3,1269.62,2,0,0,2023,9,29,19,32,0
261.96,2,98326.48,1,0,0,10,125.35,2,0,3081.7,3,0,0,2023,3,22,8,28,0
33.23,3,99107.98,1,0,0,10,349.38,2,2,2391.28,3,0,0,2023,9,1,1,40,0
66.96,0,39966.87,1,0,0,4,12.67,0,3,2943.92,2,1,0,2023,6,15,7,30,0
191.32,2,8908.35,1,0,0,3,316.64,3,0,4884.35,2,0,0,2023,5,3,5,8,0
92.84,1,94782.29,0,0,0,14,294.56,4,3,2788.74,2,0,1,2023,6,19,10,28,0
67.41,3,78505.57,2,0,1,10,168.89,0,3,3837.85,1,1,1,2023,9,6,13,58,0
30.26,3,38254.08,1,0,0,3,307.3,0,2,4715.93,3,0,0,2023,9,8,22,47,0
90.65,0,45664.36,0,0,0,13,217.31,2,0,1640.67,0,1,0,2023,4,12,22,20,0
306.45,1,36430.7,0,0,0,8,487.24,4,2,4604.37,0,0,1,2023,10,20,5,26,0
30.33,2,1034.65,0,0,0,13,215.11,2,1,2437.8,3,0,0,2023,11,13,0,34,0
3.02,2,93463.45,2,1,0,2,41.3,3,3,2930.22,0,0,0,2023,2,26,7,55,0
87.89,1,20235.63,1,0,0,4,306.18,4,2,4210.59,3,0,1,2023,12,11,15,29,0
161.84,0,71723.83,2,0,0,1,339.56,0,1,1910.14,3,0,0,2023,8,30,7,16,0
29.69,3,96927.12,2,0,0,10,398.8,1,2,2447.49,1,0,0,2023,7,19,2,38,0
137.07,2,67898.55,2,0,0,12,48.46,0,1,3644.61,3,0,0,2023,8,23,20,20,0
58.68,3,76801.13,1,0,0,13,245.9,0,1,1691.32,0,1,1,2023,6,23,5,48,0
143.89,0,97739.18,2,0,0,9,64.59,0,2,4933.71,2,1,1,2023,3,6,18,23,0
105.06,3,57847.97,2,0,0,6,422.16,0,3,1587.28,3,0,0,2023,4,6,7,12,0
37.64,1,73477.74,0,0,0,10,327.63,3,0,4041.38,2,0,0,2023,2,14,14,9,0
245.7,0,47037.93,2,0,1,8,54.2,0,0,420.03,2,1,0,2023,3,13,3,42,0
24.08,3,24794.34,1,0,0,2,207.69,3,1,275.47,3,1,0,2023,7,5,2,56,0
190.4,2,43079.05,2,0,0,13,490.23,2,2,3796.06,2,0,0,2023,8,1,3,19,0
121.32,1,54503.16,0,0,0,12,30.93,1,0,470.87,3,1,0,2023,5,17,11,50,0
34.46,1,77942.08,1,0,0,1,250.11,0,2,4354.3,0,0,0,2023,8,12,5,47,0
32.03,2,9405.67,1,0,0,4,388.88,0,2,3631.47,0,0,0,2023,7,17,18,31,0
38.72,3,66506.39,0,0,0,14,303.39,4,0,595.11,0,0,1,2023,5,3,4,33,0
277.28,3,89527.7,2,0,0,10,102.91,3,2,3785.81,2,1,0,2023,7,3,14,47,0
9.64,3,35740.01,2,0,0,4,118.82,2,0,23.21,1,0,0,2023,1,31,18,33,0
51.26,0,87068.58,2,0,0,8,238.39,4,1,3850.24,0,0,1,2023,9,24,15,26,0
190.86,3,84947.73,0,0,0,11,201.37,4,2,1666.18,0,1,1,2023,7,6,5,25,0
57.12,1,78290.71,1,0,0,14,306.21,3,1,1515.87,1,0,0,2023,3,30,15,28,0
33.93,1,86598.8,1,0,0,2,441.77,1,3,50.43,3,0,1,2023,12,26,10,54,0
117.71,2,29551.47,0,0,0,3,338.03,0,1,1451.07,2,0,0,2023,8,7,12,38,0
74.33,0,65274.69,2,0,0,3,71.5,3,3,4357.6,2,0,0,2023,1,10,21,59,0
178.93,3,18701.67,1,0,0,8,495.02,0,3,1393.03,2,0,0,2023,1,15,1,14,0
87.41,2,14041.89,0,0,0,9,491.23,4,2,222.57,2,1,1,2023,8,22,4,1,0
84.47,3,69365.97,2,0,0,13,401.29,0,0,196.15,1,1,1,2023,11,12,23,19,0
271.48,1,79897.46,2,0,0,7,476.51,0,2,987.78,1,0,1,2023,3,10,14,48,0
66.24,0,70994.88,2,0,0,6,305.3,4,1,2414.7,2,0,1,2023,9,27,14,27,0
41.38,2,45909.75,0,0,0,5,154.78,3,0,4471.42,1,0,0,2023,8,18,4,50,0
179.86,1,86577.04,2,0,0,14,208.19,3,2,1964.78,2,0,0,2023,8,1,13,43,0
121.7,3,75438.92,0,0,0,1,420.44,2,1,1143.5,0,0,0,2023,9,16,12,59,0
5.13,1,23673.1,0,0,0,14,184.71,3,0,250.54,1,0,0,2023,2,8,2,58,0
19.05,1,97735.24,2,0,0,2,328.78,1,0,4377.76,1,1,1,2023,10,7,7,55,0
195.55,3,55334.53,2,0,0,5,91.57,2,2,3970.49,0,1,0,2023,2,6,18,26,0
3.25,3,92282.47,1,0,0,13,72.14,3,0,3863.2,0,0,1,2023,4,22,8,43,0
31.76,2,39600.96,0,0,0,8,16.35,3,0,1389.62,0,0,0,2023,3,22,9,34,0
310.51,1,13495.59,0,0,1,4,120.68,1,0,3022.76,0,0,0,2023,3,9,20,13,0
55.69,0,47860.23,0,0,0,4,361.64,1,1,2738.48,2,1,0,2023,9,14,0,26,0
102.73,0,58321.64,1,0,0,3,162.3,4,3,2153.59,0,1,1,2023,1,3,15,43,0
118.37,2,54851.52,0,0,0,2,87.87,0,1,2515.74,2,0,1,2023,5,24,15,20,0
208.67,0,78200.62,1,0,0,8,168.75,3,1,3454.38,0,0,0,2023,1,23,5,23,0
72.87,2,19656.87,2,0,0,13,224.96,3,1,3012.32,0,0,0,2023,7,7,16,58,0
37.95,3,46544.08,1,0,0,12,408.7,3,0,3179.37,3,0,0,2023,3,4,23,27,0
85.81,3,14813.64,1,0,0,9,55.04,3,2,4350.64,3,1,0,2023,3,3,20,4,0
14.65,0,11610.5,1,0,0,10,177.29,3,0,3533.39,3,0,0,2023,2,5,7,5,0
13.96,1,24946.31,2,0,0,2,194.42,3,1,2061.93,1,1,0,2023,3,25,18,18,0
49.13,2,40789.36,1,0,0,1,226.77,3,3,3686.03,0,0,1,2023,7,14,14,10,0
189.67,0,14366.51,0,0,0,10,407.13,2,3,977.19,1,0,0,2023,3,24,7,45,0
133.31,1,22413.89,1,0,0,9,448.85,0,2,799.68,1,1,1,2023,4,29,18,55,0
144.9,3,62049.59,0,0,0,7,73.99,4,3,1697.13,2,1,1,2023,11,23,4,1,0
92.56,2,21480.12,1,0,0,7,320.15,0,1,3052.04,0,1,0,2023,10,14,4,45,0
312.89,3,49348.98,0,0,0,13,149.93,4,2,1501.44,1,0,1,2023,11,16,21,21,0
24.49,2,47346.66,2,0,0,3,438.46,4,0,4439.19,2,1,1,2023,10,22,12,1,0
217.06,0,75734.31,0,0,0,10,213.65,4,0,4528.2,1,0,1,2023,11,5,16,36,0
42.69,1,23238.16,2,0,0,3,52.47,2,1,3500.02,0,0,1,2023,8,3,19,31,0
273.16,3,58840.43,0,0,0,5,187.68,4,3,4508.33,2,0,1,2023,1,1,20,41,0
22.75,0,49808.05,1,0,0,9,307.03,1,3,2936.03,3,0,0,2023,3,8,22,44,0
158.93,1,18821.14,1,0,0,14,389.99,4,3,2879.63,2,0,1,2023,10,10,1,22,0
163.83,1,24295.49,2,0,0,10,434.89,0,0,2302.56,1,0,0,2023,11,19,1,50,0
3.76,0,27468.2,0,0,0,14,382.31,3,2,917.17,2,1,0,2023,4,19,2,52,0
36.18,0,54487.24,0,0,1,6,339.5,4,1,2753.43,2,1,1,2023,5,28,14,22,0
191.1,0,27883.54,1,0,0,12,269.41,1,2,639.39,2,0,0,2023,8,4,13,34,0
139.37,0,35672.28,2,1,0,10,108.91,3,1,2025.09,3,1,0,2023,12,4,1,3,0
49.79,2,45333.04,0,0,1,3,271.41,1,3,185.95,2,0,1,2023,12,13,20,31,0
247.55,2,97100.44,0,0,0,8,429.25,2,2,4335.7,2,0,0,2023,12,7,8,27,0
179.54,3,23364.46,1,0,0,9,197.97,0,0,4291.34,1,0,0,2023,2,26,5,56,0
94.37,0,24537.94,2,0,0,9,128.21,2,1,3202.41,2,0,0,2023,1,1,21,59,0
148.99,1,5913.54,2,0,1,12,72.49,1,1,1317.67,2,0,1,2023,2,14,14,26,0
44.53,0,6470.4,0,0,0,10,477.36,3,2,606.63,2,1,0,2023,8,12,9,13,0
133.89,3,32562.74,2,0,0,2,302.16,2,2,3365.03,1,0,0,2023,11,16,8,44,0
43.84,0,67221.87,0,1,0,12,108.29,3,3,4669.57,2,0,0,2023,3,10,16,13,0
11.46,3,59639.79,1,0,1,5,478.84,0,2,3464.06,3,1,1,2023,5,28,9,39,0
33.47,2,79197.06,2,0,0,6,47.11,4,0,2387.4,2,0,1,2023,7,12,2,8,0
236.36,1,84252.6,2,0,0,3,420.66,4,3,4305.32,3,0,1,2023,2,25,18,44,0
174.51,3,35235.89,1,0,0,11,413.1,2,0,2518.55,2,0,0,2023,11,19,6,11,0
88.93,1,96632.97,0,0,0,10,44.4,2,1,4248.12,2,1,0,2023,11,1,4,21,0
117.72,0,14771.34,2,0,0,6,267.87,0,2,2189.54,2,0,0,2023,3,1,16,29,0
12.6,3,52024.8,1,0,0,4,270.51,0,1,2158.66,1,1,0,2023,9,19,13,37,0
150.18,1,85039.42,1,0,1,14,429.35,4,3,1395.71,2,1,1,2023,2,4,7,29,0
73.56,3,17495.95,0,0,0,11,174.39,1,1,1095.33,3,1,0,2023,11,16,12,6,0
95.52,2,18851.31,2,0,1,13,88.85,2,2,3494.61,3,0,0,2023,8,19,21,40,0
19.41,0,42832.22,1,0,0,4,162.25,4,1,2660.0,1,0,1,2023,4,4,21,56,0
108.33,1,98518.46,0,0,0,8,171.27,1,0,3232.75,0,0,0,2023,3,30,1,47,0
103.42,0,58395.28,1,0,0,14,401.43,4,3,2046.38,2,0,1,2023,8,11,4,5,0
43.69,3,75881.56,0,0,0,1,245.99,4,1,4374.76,3,0,1,2023,7,30,4,51,0
90.48,0,48730.55,1,0,0,5,296.72,4,0,4081.42,2,0,1,2023,4,2,10,52,0
171.0,1,78863.63,1,0,0,6,244.53,2,2,4526.13,3,0,0,2023,1,13,11,28,0
179.57,1,38887.79,2,0,0,5,105.92,2,0,4923.49,2,1,0,2023,9,8,9,49,0
19.47,3,67321.01,0,0,0,14,363.23,2,1,3432.38,0,1,0,2023,8,13,10,13,0
93.11,3,73205.47,2,0,0,1,392.37,3,2,496.45,3,0,0,2023,6,2,22,49,0
15.86,0,42541.48,2,0,0,7,266.85,0,3,4739.93,3,0,0,2023,1,19,3,26,0
313.69,3,60390.01,2,0,0,13,112.77,3,2,1095.28,0,0,0,2023,1,21,11,41,0
99.63,3,65079.41,0,0,0,8,234.49,0,0,3616.46,0,0,0,2023,9,18,10,50,0
80.8,3,96072.96,2,0,0,1,289.71,2,0,1686.71,1,0,0,2023,4,30,20,11,0
219.37,3,43518.5,2,0,0,2,75.6,2,2,2131.9,2,1,0,2023,10,4,13,31,0
17.92,1,90670.55,1,0,0,3,497.04,2,0,915.84,3,0,0,2023,9,23,2,9,0
116.24,1,8732.24,0,0,1,9,238.83,1,1,10.81,2,1,0,2023,8,21,3,3,0
18.4,0,74934.55,1,0,0,7,387.27,2,3,141.36,1,0,0,2023,11,25,3,24,0
3.78,3,62386.55,1,0,0,10,367.64,4,3,2205.18,1,0,1,2023,9,9,20,35,0
82.48,1,99589.13,0,0,1,4,154.52,4,2,3388.51,0,0,1,2023,12,2,20,28,0
387.67,1,69456.64,1,0,0,10,12.21,1,2,2160.4,3,0,0,2023,9,1,17,54,0
336.91,3,93663.44,0,0,0,2,225.11,4,1,905.06,3,0,1,2023,2,26,18,29,0
81.6,0,66003.9,2,0,0,10,57.34,1,0,1379.63,2,0,0,2023,8,26,17,59,0
84.3,3,5771.7,1,0,0,8,100.97,2,0,7.65,3,0,0,2023,3,22,14,28,0
49.69,3,75996.04,1,0,0,12,349.1,1,0,2679.34,3,0,0,2023,5,24,23,59,0
8.67,2,61434.23,2,0,0,2,308.9,0,2,4337.86,1,0,0,2023,5,16,16,25,0
4.25,1,29294.71,1,0,0,9,250.96,0,1,4821.68,1,0,0,2023,4,22,23,4,0
22.35,2,34500.75,0,0,1,2,342.71,2,0,2343.1,1,1,0,2023,6,9,23,25,0
118.32,2,19398.96,2,0,0,6,288.03,2,0,4694.75,1,0,1,2023,4,5,17,46,0
57.88,0,63432.34,2,0,0,10,268.39,4,1,4461.43,2,0,1,2023,9,15,13,39,0
88.28,0,64039.79,2,0,0,6,292.3,1,1,1416.13,3,1,0,2023,6,16,9,58,0
137.41,0,17755.97,2,0,0,10,19.2,2,0,55.1,3,1,0,2023,8,2,17,28,0
120.91,1,933.12,1,0,0,4,20.01,2,2,1197.14,3,0,0,2023,9,28,6,23,0
89.34,1,70364.35,1,0,0,9,384.34,4,0,2949.17,1,0,1,2023,5,28,15,29,0
30.89,3,37112.35,1,0,1,10,498.99,1,3,2402.43,3,1,0,2023,4,26,19,22,0
77.26,3,26572.89,0,0,0,7,303.69,2,2,455.47,2,1,0,2023,2,28,12,3,0
155.34,3,11859.65,1,0,1,14,85.1,3,3,1031.01,0,0,0,2023,5,25,20,46,0
368.93,3,68242.77,2,0,0,12,61.08,4,1,3195.33,2,0,1,2023,7,16,4,3,0
130.33,1,30010.32,0,0,0,14,243.06,1,2,1838.11,3,1,0,2023,2,4,4,50,0
46.06,3,89235.3,1,0,0,10,430.95,2,2,3211.72,1,1,0,2023,11,21,13,36,0
197.22,2,40575.78,2,0,0,7,37.19,0,0,2924.88,2,0,0,2023,4,19,9,10,0
71.02,0,23976.92,2,0,0,8,227.09,0,2,1582.39,2,0,1,2023,8,23,4,8,0
12.8,2,99464.38,0,0,0,3,286.14,4,2,4409.8,1,1,1,2023,5,28,8,12,0
185.64,2,53451.65,1,0,0,14,158.54,3,1,2571.14,1,0,0,2023,1,22,8,22,0
16.27,0,5514.87,0,0,0,6,57.56,0,3,1856.75,2,0,0,2023,6,30,15,16,0
26.77,3,7598.37,2,0,0,7,440.13,3,0,4700.01,1,0,0,2023,4,27,7,36,0
126.06,3,32269.8,0,0,0,10,57.47,3,2,696.52,1,0,0,2023,3,16,18,11,0
148.31,3,45440.3,0,0,0,14,30.39,4,3,2882.83,1,0,1,2023,12,14,14,41,0
16.91,2,26577.24,2,0,0,6,38.53,4,2,3925.73,1,0,1,2023,9,15,15,48,0
80.12,1,48852.23,1,0,0,2,321.85,1,2,2152.94,2,0,0,2023,9,16,20,18,0
279.03,3,60020.78,1,0,0,14,406.7,3,1,4053.34,3,0,0,2023,10,24,4,9,0
162.77,1,13727.65,2,0,0,7,260.01,1,0,1790.94,2,0,0,2023,8,27,12,23,0
141.22,0,63934.81,0,0,0,13,188.92,0,1,2654.15,0,1,1,2023,10,23,21,2,0
69.38,3,90887.76,2,0,0,5,278.63,3,1,1658.6,0,1,0,2023,3,27,3,45,0
24.39,3,90556.81,1,0,0,2,35.08,2,1,4604.45,0,0,0,2023,6,13,19,26,0
38.16,2,27351.73,1,0,0,6,420.75,3,0,3775.69,3,0,1,2023,5,21,11,29,0
19.3,3,79639.89,2,0,0,9,90.26,4,2,4206.59,1,0,1,2023,11,3,8,53,0
122.83,3,93590.3,0,0,0,2,352.91,0,3,2004.17,0,0,0,2023,6,10,18,8,0
44.91,0,68566.3,1,0,0,10,156.8,0,2,2029.24,0,0,0,2023,6,29,2,44,0
21.76,3,19209.76,0,0,0,4,142.72,0,0,3086.04,1,0,0,2023,1,27,9,53,0
21.21,2,22796.78,0,0,0,10,74.85,4,2,180.87,3,0,1,2023,1,19,19,10,0
250.12,3,96473.0,0,0,0,10,320.85,4,0,1617.16,2,1,1,2023,8,20,0,15,0
26.73,0,10641.16,0,0,0,2,114.59,3,0,2078.19,2,0,1,2023,10,18,3,50,0
80.97,1,34986.01,0,0,0,6,323.98,3,0,1925.28,2,0,0,2023,4,28,16,19,0
81.31,0,98766.04,0,0,0,3,220.71,2,1,1049.7,2,1,0,2023,6,18,22,57,0
40.22,2,14281.51,2,0,0,6,401.27,3,0,588.04,0,1,1,2023,2,23,19,57,0
170.43,0,4335.93,2,0,0,8,113.12,4,1,2079.18,3,0,1,2023,3,8,19,9,0
23.86,2,17075.07,1,0,0,14,160.67,1,0,2284.07,3,1,0,2023,9,7,16,5,0
12.19,3,38549.75,1,0,1,12,21.93,4,3,441.45,2,0,1,2023,6,23,14,5,0
4.55,0,76966.53,2,0,0,14,109.61,0,1,4633.16,3,0,0,2023,7,11,16,26,0
3.33,3,77377.16,1,0,0,11,108.14,1,0,2411.88,3,0,0,2023,4,11,18,59,0
67.95,1,95171.43,2,0,0,5,423.86,4,2,2508.32,2,1,1,2023,3,18,11,48,0
32.05,1,62824.53,2,0,1,14,438.46,4,2,737.52,2,1,1,2023,10,5,0,41,0
94.39,1,25070.52,0,0,1,10,206.36,3,0,2470.99,1,1,0,2023,7,14,20,30,0
59.37,3,88749.14,0,0,0,8,308.99,0,3,1762.02,2,1,0,2023,9,15,20,55,0
141.95,1,18240.26,2,0,0,4,46.96,1,1,4555.68,0,0,0,2023,7,27,6,50,0
36.01,3,20215.46,0,0,0,3,292.31,1,2,4968.29,2,0,0,2023,10,19,17,5,0
57.38,3,17529.79,2,0,0,11,85.67,2,2,3564.22,1,0,0,2023,11,6,9,20,0
26.95,1,55032.65,2,0,0,10,396.32,3,0,4753.39,3,0,0,2023,2,27,4,33,0
286.1,1,13714.31,1,0,0,13,214.41,0,0,159.45,0,1,0,2023,5,31,2,50,0
148.88,0,89328.75,1,0,0,4,103.0,4,1,1481.85,1,1,1,2023,2,27,11,9,0
69.69,0,84473.1,1,0,0,3,290.52,0,3,2017.21,3,0,0,2023,10,5,4,15,0
42.05,0,80474.45,1,0,0,10,310.2,0,2,1443.66,1,0,0,2023,1,9,0,44,0
1.25,2,59207.29,1,0,0,1,266.73,4,0,3021.39,0,1,1,2023,4,29,16,8,0
104.58,2,76393.32,2,0,0,13,433.18,4,2,732.58,1,0,1,2023,8,5,20,30,0
33.56,0,47100.54,1,0,0,2,242.62,3,0,2558.2,2,1,0,2023,4,8,7,25,0
12.65,2,7424.42,0,0,0,4,40.12,0,2,3415.75,3,0,0,2023,2,27,12,33,0
239.05,2,18212.24,1,0,0,4,104.41,1,0,1067.49,3,0,1,2023,10,28,21,56,0
74.49,1,11266.25,2,0,0,10,366.74,3,2,4019.88,1,0,0,2023,11,2,18,32,0
12.26,1,65926.93,2,0,0,5,290.62,3,0,2276.34,3,1,0,2023,1,13,22,50,0
190.34,0,41672.69,0,0,0,1,307.13,2,2,469.28,2,0,0,2023,9,24,22,16,0
167.27,1,12085.64,1,0,0,8,56.78,4,0,727.97,1,1,1,2023,11,29,9,46,0
124.01,1,48256.1,2,0,0,12,200.27,4,0,1714.48,3,1,1,2023,11,1,16,9,0
16.19,2,62537.32,2,0,0,9,102.4,2,0,458.8,1,1,1,2023,7,3,5,14,0
11.36,1,56536.55,2,0,0,8,323.56,3,0,1016.87,2,1,0,2023,11,26,12,52,0
39.25,3,68191.07,1,0,0,7,193.86,0,2,3816.89,3,0,1,2023,6,5,21,59,0
5.92,2,28841.03,2,0,0,5,164.22,2,0,4257.8,3,1,0,2023,7,15,18,54,0
66.96,1,61492.81,2,0,0,12,314.1,0,3,4829.12,2,0,0,2023,3,14,14,33,0
189.49,1,11886.11,2,0,0,8,167.27,3,3,419.97,0,0,0,2023,8,16,20,20,0
243.26,1,45769.58,0,0,0,12,100.5,0,1,3504.67,1,0,0,2023,7,16,4,15,0
3.78,3,2737.91,2,0,0,10,295.07,1,1,1199.89,2,0,0,2023,4,3,3,12,0
71.93,2,53571.33,2,0,0,7,57.52,3,3,2119.22,0,0,0,2023,11,1,19,47,0
33.22,0,40577.53,1,0,0,3,71.16,4,3,4004.48,2,0,1,2023,8,28,11,38,0
1.76,0,92174.72,1,0,0,13,76.7,2,1,3257.75,2,0,0,2023,12,20,18,43,0
34.96,3,71901.33,2,0,0,14,203.02,3,1,3103.25,2,0,0,2023,6,1,4,29,0
144.53,2,43715.63,1,0,0,10,334.94,2,1,649.98,3,1,0,2023,12,9,13,7,0
8.17,1,79227.49,1,0,0,7,179.36,2,3,1310.79,3,0,0,2023,6,11,10,56,0
153.16,0,42503.02,2,0,0,10,190.16,3,0,4058.07,2,0,0,2023,12,23,19,3,0
145.28,1,67696.91,2,0,0,8,38.34,2,2,3607.02,0,0,0,2023,9,29,19,8,0
88.07,0,48091.31,2,0,0,3,496.05,0,1,1154.08,3,1,0,2023,7,4,4,24,0
17.98,3,64617.98,1,0,0,11,371.62,1,1,4262.47,1,1,1,2023,12,2,22,27,0
3.56,0,22202.45,0,0,0,8,430.84,0,1,4847.87,1,0,0,2023,4,5,21,41,0
196.63,3,71454.41,0,0,0,2,277.98,3,2,1979.19,3,0,0,2023,11,23,7,47,0
139.43,1,15381.77,2,0,0,1,263.79,3,3,1964.88,1,0,0,2023,6,12,15,12,0
75.71,0,36056.99,1,0,0,12,106.07,2,1,4312.24,2,0,0,2023,6,6,1,40,0
99.2,3,98487.92,2,0,0,9,488.65,0,3,2881.94,2,0,0,2023,7,7,15,38,0
131.07,2,70126.04,1,0,0,13,298.23,0,3,2937.63,0,1,0,2023,4,2,3,38,0
26.2,2,17976.84,0,0,0,11,260.11,1,3,4060.1,1,0,0,2023,11,20,13,37,0
70.99,3,51213.64,1,0,0,6,94.8,3,2,2760.78,3,0,0,2023,11,14,8,57,0
287.1,3,75002.29,1,0,0,4,52.1,4,2,1263.52,3,0,1,2023,10,13,9,40,0
21.27,2,81527.08,0,0,0,2,54.74,2,1,3960.61,3,0,0,2023,12,26,22,4,0
153.36,3,47704.08,1,0,0,14,307.62,0,1,1907.7,2,0,1,2023,11,1,1,11,0
11.22,2,57410.36,2,0,0,3,102.57,3,3,104.36,3,0,0,2023,1,5,13,25,0
22.06,3,21628.26,1,0,0,14,455.97,1,3,4512.79,1,1,0,2023,2,9,9,51,0
77.97,2,12268.12,1,0,0,1,382.92,0,2,2974.57,1,0,0,2023,6,28,21,13,0
274.74,0,72436.33,1,0,0,6,392.34,4,2,222.16,2,0,1,2023,10,27,3,33,0
457.77,1,10083.99,1,0,0,5,460.83,2,1,3022.18,0,1,0,2023,2,17,4,37,0
174.39,2,58419.22,1,0,1,11,335.3,2,1,1791.5,1,0,1,2023,6,25,13,15,0
76.77,3,54223.11,0,0,0,9,60.05,2,0,3474.09,3,0,0,2023,2,9,23,51,0
4.42,3,19732.0,2,0,0,1,419.2,3,3,1757.91,1,1,0,2023,11,11,10,39,0
156.67,3,22940.84,0,0,0,4,52.73,0,1,4171.23,0,0,0,2023,3,18,7,2,0
64.96,0,82409.86,1,0,0,4,284.57,2,2,4601.94,3,0,0,2023,10,11,6,13,0
3.78,2,49739.64,2,0,0,4,111.4,0,0,2422.38,1,0,0,2023,5,11,18,5,0
364.58,3,17115.78,0,0,1,7,80.09,0,2,735.06,1,1,0,2023,9,15,22,59,0
24.07,2,43710.79,1,0,0,10,175.53,4,0,4316.72,1,0,1,2023,3,3,8,55,0
49.61,1,23460.28,0,0,0,4,330.95,0,0,514.92,2,1,0,2023,11,5,7,15,0
122.35,2,49825.65,0,0,0,6,177.71,4,0,4703.35,1,0,1,2023,4,7,3,57,0
43.3,3,686.37,0,0,0,6,383.6,2,3,3438.6,2,0,0,2023,11,4,17,32,0
354.73,0,62108.96,0,0,0,9,111.85,2,0,3147.69,2,1,0,2023,1,23,10,58,0
13.78,3,99861.83,0,0,0,6,23.45,2,0,3325.44,3,0,0,2023,7,30,18,12,0
89.57,1,16077.76,2,0,0,5,138.49,1,1,2019.75,1,0,1,2023,3,22,21,49,0
146.1,1,745.85,2,0,1,3,333.0,4,2,1674.71,2,0,1,2023,10,31,0,4,0
108.69,2,70502.14,2,0,0,8,414.72,4,1,4461.03,1,0,1,2023,9,17,16,25,0
194.31,1,48651.3,2,1,0,7,440.45,4,3,47.22,0,0,1,2023,12,31,3,41,0
216.78,3,17773.82,2,0,0,8,408.81,3,2,2781.04,2,1,0,2023,6,17,22,52,0
